GeographicCode,GeographicName,Province,Population_2011,Population_2006,PrivateDwellings_2011,LandArea_SqKm_2011,PopDensity_SqKm_2011,NatPopRank_2011,ProvPopRank_2011
3554094,"Timiskaming, Unorganized, West Part",Ontario,2925,3297,1912,10239.5777,0.2857,1028,273
3556027,Timmins,Ontario,43165,42997,18806,2979.1528,14.489,109,46
3543068,Tiny,Ontario,11232,10754,9564,336.8284,33.3464,351,127
3520005,Toronto,Ontario,2615060,2503281,1107851,630.2147,4149.4748,1,1
3514045,Trent Hills,Ontario,12604,12247,6613,511.8984,24.6221,311,115
3512048,Tudor and Cashel,Ontario,586,682,675,445.6748,1.3149,2800,408
3512030,Tweed,Ontario,6057,5614,2907,953.7529,6.3507,609,208
3512001,Tyendinaga,Ontario,4150,4070,1547,313.0005,13.2588,803,244
3512004,Tyendinaga Mohawk Territory,Ontario,2506,,1002,71.0574,35.2673,1139,290
3518029,Uxbridge,Ontario,20623,19169,7634,420.8254,49.0061,194,76
3556070,Val Rita-Harty,Ontario,817,939,368,382.7127,2.1348,2345,379
3519028,Vaughan,Ontario,288301,238866,88282,273.5222,1054.0314,17,8
3560061,Wabaseemoong,Ontario,832,786,248,75.5532,11.0121,2314,377
3560084,Wabauskang 21,Ontario,75,85,27,29.9782,2.5018,4488,528
3560057,Wabigoon Lake 27,Ontario,184,147,76,46.272,3.9765,4058,492
3553040,Wahnapitei 11,Ontario,102,52,59,10.626,9.5991,4352,513
3544071,Wahta Mohawk Territory,Ontario,,,,61.1725,,,
3526014,Wainfleet,Ontario,6356,6601,2937,217.2937,29.2507,586,203
3538004,Walpole Island 46,Ontario,,1878,,137.4749,,,
3560088,Wapekeka 2,Ontario,368,350,115,21.4749,17.1363,3397,449
3538043,Warwick,Ontario,3717,3945,1434,290.2009,12.8084,872,256
3543064,Wasaga Beach,Ontario,17537,15029,11645,58.4281,300.1467,238,89
3530016,Waterloo,Ontario,98780,97475,42984,64.0221,1542.9047,52,25
3557076,Wawa,Ontario,2975,3204,1517,417.7812,7.121,1012,271
3560100,Wawakapewin (Long Dog Lake),Ontario,,21,,53.9099,,,
3560059,Weagamow Lake 87,Ontario,,700,,95.7464,,,
3560079,Webequie,Ontario,,614,,303.4059,,,
3526032,Welland,Ontario,50631,50331,22701,81.0851,624.418,96,41
3530027,Wellesley,Ontario,10713,9789,3224,277.7877,38.5654,370,135
3523050,Wellington North,Ontario,11477,11175,4801,526.2762,21.8079,346,124
3534042,West Elgin,Ontario,5157,5349,2233,322.5153,15.9899,688,224
3542004,West Grey,Ontario,12286,12288,5488,876.0215,14.0248,325,119
3526021,West Lincoln,Ontario,13837,13167,4744,387.7789,35.6827,284,107
3548055,West Nipissing / Nipissing Ouest,Ontario,14149,13410,7156,1992.0843,7.1026,279,106
3531025,West Perth,Ontario,8919,8839,3400,579.4197,15.393,437,160
3507033,Westport,Ontario,628,645,378,1.7135,366.5013,2717,404
3518009,Whitby,Ontario,122022,111184,41931,146.5342,832.7203,41,20
3519044,Whitchurch-Stouffville,Ontario,37628,24390,13614,206.406,182.3009,121,50
3560004,Whitefish Bay 32A,Ontario,670,622,203,18.7654,35.704,2633,396
3560005,Whitefish Bay 33A,Ontario,79,53,38,12.8858,6.1308,4469,525
3560083,Whitefish Bay 34A,Ontario,126,94,40,5.5483,22.7097,4258,505
3552051,Whitefish Lake 6,Ontario,394,349,257,172.6104,2.2826,3320,441
3551040,Whitefish River (Part) 4,Ontario,487,379,267,40.5001,12.0247,3047,424
3557091,White River,Ontario,607,841,435,96.9395,6.2616,2752,405
